IMO,MMSI,Name,Type_Code,Type,Length_m,Beam_m,Draught_m,Flag,Nav_Status,SOG_kn,Callsign,Destination,Latitude,Longitude,Last_Seen
,470007912,,,,,,,UAE,Not Defined,0,,,25.182958,55.202598,2026-03-02 06:07:15 UTC
,471626000,,,,,,,UAE,,0,,,25.184138,55.201967,2026-03-02 06:09:33 UTC
,232063467,A-SEA,,,,,,UK,,0,,,25.23906,55.251357,2026-03-02 06:10:08 UTC
,470530000,ABDUL SATTAR 2006,,,,,,UAE,Moored,0,,,25.27204,55.259035,2026-03-02 06:07:23 UTC
9489027,636014923,ABU DHABI III,80,Tanker,244,42,8.2,Liberia,At Anchor,0.2,A8XL3,AEFJR,25.541247,55.00435,2026-03-02 06:10:06 UTC
,471164000,AL JAMOH,,,,,,UAE,Towing Astern,0,,,25.17907,55.212917,2026-03-02 06:10:12 UTC
,636021498,AL SALAM,,,,,,Liberia,At Anchor,0.1,,,25.298162,55.02799,2026-03-02 06:09:19 UTC
,636092915,ALBERT OLDENDORFF,,,,,,Liberia,Moored,0,,,25.247503,55.262162,2026-03-02 06:08:22 UTC
,403715910,ARABDRILL 17,,,,,,Saudi Arabia,Restricted Manoeuvrability,0,,,25.261688,55.262417,2026-03-02 06:09:16 UTC
,408687000,BAK-20,,,,,,Bahrain,Restricted Manoeuvrability,0.1,,,25.201385,55.20347,2026-03-02 06:10:06 UTC
,235083529,BARDSEY ISLAND,,,,,,UK,Restricted Manoeuvrability,0,,,25.172677,55.208275,2026-03-02 06:10:33 UTC
9923097,636021499,BAYNOUNAH,80,Tanker,230,36,10,Liberia,At Anchor,0.1,5LEF8,AE DXB,25.447558,55.04193,2026-03-02 06:07:51 UTC
1011513,319065700,BLISS,37,Pleasure Craft,52,9,2.4,Cayman Is.,Moored,0,ZGEA5,JUMADA ANCHORAGE,25.210472,55.23391,2026-03-02 06:10:18 UTC
,470009199,BLUE SHARK 13,,,,,,UAE,Under Way (Engine),0.3,,,25.184883,55.21254,2026-03-02 06:09:40 UTC
,566921000,BRITOIL CENTURION,,,,,,Singapore,Moored,102.2,,,23.959878,52.243967,2026-03-02 06:09:46 UTC
,245048000,COASTAL BOXER,,,,,,Netherlands,Under Way (Engine),0,,,25.178407,55.213162,2026-03-02 06:10:22 UTC
,244811000,COASTAL VICTORY,,,,,,Netherlands,Under Way (Sailing),0.3,,,25.170923,55.193408,2026-03-02 06:10:18 UTC
,244810178,CONQUEST MB1,90,Other,136,36,4.1,Netherlands,At Anchor,101.9,PCPS,MUMBAI,23.96,52.244,2026-03-02 06:09:47 UTC
,477242700,COSPEARL LAKE,,,,,,Hong Kong,At Anchor,0.1,,,25.442187,55.071497,2026-03-02 06:07:30 UTC
9172739,352004406,DANISA,80,Tanker,229,36,8,Panama,At Anchor,6.2,3E6707,DUBAI,25.41321,55.077715,2026-03-02 06:09:33 UTC
1010662,470229000,DEEP BREATH,37,Pleasure Craft,68,12,3.7,UAE,At Anchor,0.4,A6E2163,BULGARI  ANCHORAGE,25.21445,55.219867,2026-03-02 06:08:07 UTC
,470890000,DUBAI SHADOW,,,,,,UAE,Moored,0,,,25.269167,55.2753,2026-03-02 06:08:56 UTC
9735361,356593000,GEM NO.1,80,Tanker,330,60,11,Panama,At Anchor,0.1,HOCK,FOR ORDERS,25.450175,55.058303,2026-03-02 06:08:44 UTC
